Date,Air Temp (F),Rel Hum (%),Wind Speed (mph),FWI
2015-12-31 16:00:00,38.39,69.12,1.16324,1.859636006750805
2015-12-31 17:00:00,35.204,72.06,1.31983,1.8469420771594287
2015-12-31 18:00:00,32.36,79.0,1.5435299999999998,1.6209968665110916
2015-12-31 19:00:00,31.19,81.81,1.85671,1.6501416722297544
2015-12-31 20:00:00,30.668,81.06,2.10278,1.8790871538844138
2015-12-31 21:00:00,30.398,78.75,2.21463,2.1506556367709764
2015-12-31 22:00:00,30.038,76.94,2.237,2.315304554680483
2015-12-31 23:00:00,29.498,76.44,2.30411,2.4116281090307767
2016-01-01 00:00:00,29.372,74.38,2.48307,2.749422832335604
2016-01-01 01:00:00,29.84,70.0,2.6844,3.3354526490521095
2016-01-01 02:00:00,30.073999999999998,67.38,2.66203,3.5274987652709204
2016-01-01 03:00:00,28.976,71.38,2.57255,3.0926255059169967
2016-01-01 04:00:00,28.472,72.06,2.55018,3.008352573432812
2016-01-01 05:00:00,28.166,71.75,2.61729,3.1017800020696678
2016-01-01 06:00:00,27.338,72.62,2.61729,3.020143832836204
2016-01-01 07:00:00,27.554,73.0,2.66203,3.032836418865001
2016-01-01 08:00:00,33.692,62.5,3.17654,4.5793992821412415
2016-01-01 09:00:00,38.588,47.75,4.67533,8.109182566280609
2016-01-01 10:00:00,40.946,42.0,5.122730000000001,9.543438095627826
2016-01-01 11:00:00,42.314,38.94,5.3688,10.387557362647682
2016-01-01 12:00:00,42.728,38.56,5.18984,10.105027110659424
2016-01-01 13:00:00,42.620000000000005,39.25,4.83192,9.35294353465854
2016-01-01 14:00:00,41.666,41.5,4.2503,8.040142299704543
2016-01-01 15:00:00,38.93,54.19,2.66203,4.386581185059994
2016-01-01 16:00:00,31.892,72.69,2.14752,2.575629360562768
2016-01-01 17:00:00,29.336,71.69,2.81862,3.325351117462993
2016-01-01 18:00:00,30.236,68.06,3.01995,3.8867546956955685
2016-01-01 19:00:00,31.712,67.0,2.66203,3.56935507014951
2016-01-01 20:00:00,32.846,68.75,2.30411,3.0360336739773923
2016-01-01 21:00:00,33.332,69.94,2.16989,2.807561065881752
2016-01-01 22:00:00,33.494,70.12,2.14752,2.771988924709636
2016-01-01 23:00:00,33.494,70.0,2.16989,2.8042890578620225
2016-01-02 00:00:00,33.188,69.88,2.28174,2.93096636438301
2016-01-02 01:00:00,33.008,69.19,2.34885,3.05414921142136
2016-01-02 02:00:00,33.296,68.62,2.32648,3.0732804605775383
2016-01-02 03:00:00,33.314,68.56,2.237,2.97816313643973
2016-01-02 04:00:00,33.26,67.31,2.30411,3.1412141829982976
2016-01-02 05:00:00,32.792,67.19,2.30411,3.146548003539159
2016-01-02 06:00:00,32.72,66.94,2.32648,3.1892638909576316
2016-01-02 07:00:00,32.99,68.06,2.25937,3.0362279160748344
2016-01-02 08:00:00,38.57,68.75,2.10278,2.848854083362669
2016-01-02 09:00:00,45.068,52.56,3.42261,5.623324964680327
2016-01-02 10:00:00,48.614000000000004,49.0,3.5792,6.277198569073374
2016-01-02 11:00:00,50.918,46.38,3.75816,6.808973217558884
