Date,Air Temp (F),Rel Hum (%),Wind Speed (mph),FWI
2015-12-31 16:00:00,47.012,46.69,3.26602,5.929957945675303
2015-12-31 17:00:00,43.142,51.19,3.5792,5.895525411429025
2015-12-31 18:00:00,41.486,54.44,3.8029,6.076513779377559
2015-12-31 19:00:00,40.01,57.25,3.98186,6.150860714995133
2015-12-31 20:00:00,38.642,59.56,4.11608,6.148654682665293
2015-12-31 21:00:00,37.364,61.0,4.31741,6.285293799095689
2015-12-31 22:00:00,36.464,60.75,4.56348,6.640302800202938
2015-12-31 23:00:00,35.942,59.25,4.65296,6.905523899884955
2016-01-01 00:00:00,35.653999999999996,57.44,4.58585,6.965884480011008
2016-01-01 01:00:00,35.744,55.88,4.56348,7.0558589206853135
2016-01-01 02:00:00,35.834,55.5,4.60822,7.150562977731604
2016-01-01 03:00:00,35.653999999999996,56.56,4.65296,7.134759220965891
2016-01-01 04:00:00,35.348,58.38,4.80955,7.202875115960657
2016-01-01 05:00:00,35.042,60.25,4.94377,7.204563570781288
2016-01-01 06:00:00,34.79,62.19,5.122730000000001,7.229346306134161
2016-01-01 07:00:00,38.354,59.06,5.54776,8.234537458467031
2016-01-01 08:00:00,44.69,42.56,8.74667,16.054073976291384
2016-01-01 09:00:00,48.452,34.56,9.55199,19.40681675601371
2016-01-01 10:00:00,51.980000000000004,31.25,8.43349,17.92949721301025
2016-01-01 11:00:00,54.698,29.88,7.628170000000001,16.560201859330647
2016-01-01 12:00:00,56.39,29.75,7.04655,15.372101188943123
2016-01-01 13:00:00,57.272,30.94,6.35308,13.708179973688262
2016-01-01 14:00:00,57.290000000000006,32.94,5.61487,11.868414826429772
2016-01-01 15:00:00,54.968,41.19,3.69105,7.177305036462778
2016-01-01 16:00:00,48.668,59.25,2.48307,3.970063001431401
2016-01-01 17:00:00,45.518,62.06,3.1318,4.653739277029022
2016-01-01 18:00:00,43.952,61.19,4.048970000000001,5.9678335686056565
2016-01-01 19:00:00,42.566,58.81,4.87666,7.348555744509055
2016-01-01 20:00:00,41.216,57.75,5.122730000000001,7.789461204881557
2016-01-01 21:00:00,40.406,56.75,5.055619999999999,7.769835307427078
2016-01-01 22:00:00,40.406,55.5,4.87666,7.604060038687432
2016-01-01 23:00:00,40.532,54.31,4.76481,7.5210556158038
2016-01-02 00:00:00,40.82,54.5,4.56348,7.208085518175965
2016-01-02 01:00:00,40.514,55.62,4.54111,7.095476325629927
2016-01-02 02:00:00,39.757999999999996,57.0,4.56348,7.016320381933654
2016-01-02 03:00:00,39.218,57.88,4.60822,7.002911274887354
