Date,Air Temp (F),Rel Hum (%),Wind Speed (mph),FWI
2015-12-31 16:00:00,34.934,79.44,1.61064,1.6544857639228756
2015-12-31 17:00:00,31.064,83.19,1.63301,1.4065453997290243
2015-12-31 18:00:00,29.498,84.81,1.38694,1.1538224213622064
2015-12-31 19:00:00,27.716,83.75,1.43168,1.2353793397752593
2015-12-31 20:00:00,26.348,81.38,1.52116,1.4304757511095385
2015-12-31 21:00:00,25.592,77.94,1.49879,1.6227081903673537
2015-12-31 22:00:00,24.566,77.44,1.45405,1.614404630188869
2015-12-31 23:00:00,23.864,77.56,1.43168,1.5876139865543633
2016-01-01 00:00:00,23.54,77.75,1.45405,1.5917523104790934
2016-01-01 01:00:00,23.594,77.25,1.45405,1.6213764632037901
2016-01-01 02:00:00,23.792,76.62,1.47642,1.6764382805780413
2016-01-01 03:00:00,23.828,76.81,1.40931,1.6138832324963088
2016-01-01 04:00:00,23.683999999999997,77.69,1.45405,1.595904166684868
2016-01-01 05:00:00,23.612000000000002,77.94,1.45405,1.580857115011068
2016-01-01 06:00:00,23.468,77.94,1.40931,1.5473973307897504
2016-01-01 07:00:00,23.216,78.88,1.40931,1.4918231288300863
2016-01-01 08:00:00,25.844,72.38,2.43833,2.850613149288563
2016-01-01 09:00:00,29.408,61.75,2.5278099999999997,3.7554618721699953
2016-01-01 10:00:00,33.44,52.19,1.83434,3.2465610357283814
2016-01-01 11:00:00,36.626,48.62,1.36457,2.8311949100044727
2016-01-01 12:00:00,38.84,46.75,0.8948,2.3057506141334643
2016-01-01 13:00:00,39.992000000000004,46.75,0.6711,2.0721509053570477
2016-01-01 14:00:00,39.956,49.81,0.53688,1.878130719972301
2016-01-01 15:00:00,38.768,58.44,0.51451,1.6572703825804884
2016-01-01 16:00:00,35.456,59.25,1.43168,2.5317855018810618
2016-01-01 17:00:00,32.468,63.62,1.87908,2.863359480667726
2016-01-01 18:00:00,31.406,68.0,2.30411,3.080633458131895
2016-01-01 19:00:00,29.39,77.5,2.19226,2.2279441310935613
2016-01-01 20:00:00,27.247999999999998,84.62,1.70012,1.3338443980966521
2016-01-01 21:00:00,25.844,85.31,1.65538,1.2555196557775672
2016-01-01 22:00:00,25.466,84.38,1.58827,1.277167740347332
2016-01-01 23:00:00,25.79,84.19,1.29746,1.126665962260205
2016-01-02 00:00:00,25.898,84.25,1.18561,1.0639376417976594
2016-01-02 01:00:00,25.736,84.44,1.18561,1.0531823186797014
2016-01-02 02:00:00,25.718,85.44,1.20798,1.0105523866003725
2016-01-02 03:00:00,25.646,86.0,1.36457,1.0571267304817171
2016-01-02 04:00:00,25.034,85.31,1.52116,1.1784678253580652
2016-01-02 05:00:00,24.386,84.38,1.5435299999999998,1.2469804640542057
2016-01-02 06:00:00,23.864,85.0,1.5435299999999998,1.2054356107799467
2016-01-02 07:00:00,23.881999999999998,83.75,1.58827,1.3111629881575153
2016-01-02 08:00:00,26.042,74.62,2.4607,2.685444483463098
2016-01-02 09:00:00,29.84,67.0,2.43833,3.295325954607851
2016-01-02 10:00:00,33.638,62.88,2.12515,3.2083233708785475
2016-01-02 11:00:00,36.482,62.38,1.67775,2.705149099155764
2016-01-02 12:00:00,37.976,62.88,1.16324,2.1124724736103855
2016-01-02 13:00:00,38.264,65.44,0.80532,1.6870854876591546
2016-01-02 14:00:00,37.832,72.44,0.53688,1.260143695368312
2016-01-02 15:00:00,35.852000000000004,83.44,0.6711,0.8876602625826185
2016-01-02 16:00:00,33.026,88.94,1.1185,0.8089330304767118
2016-01-02 17:00:00,31.316,94.0,1.14087,0.5462285270030056
2016-01-02 18:00:00,30.866,96.44,1.05139,0.3985472991657091
2016-01-02 19:00:00,30.992,96.81,1.09613,0.38888120966836875
2016-01-02 20:00:00,31.442,95.88,1.16324,0.45289204086265566
2016-01-02 21:00:00,31.37,96.06,1.23035,0.45797749880989935
2016-01-02 22:00:00,31.01,95.5,1.49879,0.5540765548669789
2016-01-02 23:00:00,31.37,93.75,1.23035,0.5847428003655266
2016-01-03 00:00:00,32.072,93.06,1.2527200000000003,0.6317866151002665
2016-01-03 01:00:00,32.216,95.94,1.16324,0.4521125632245292
2016-01-03 02:00:00,32.468,97.62,1.09613,0.35154028075012606
2016-01-03 03:00:00,32.342,99.75,1.00665,0.23022584199566343
2016-01-03 04:00:00,32.414,99.88,1.14087,0.2394395307323393
2016-01-03 05:00:00,32.972,96.69,1.20798,0.4238063488457302
2016-01-03 06:00:00,32.486,95.69,1.09613,0.4509702815264909
2016-01-03 07:00:00,32.882,88.75,1.49879,0.9827887960089189
2016-01-03 08:00:00,36.266,80.81,1.5435299999999998,1.5246933464831247
2016-01-03 09:00:00,39.488,84.75,0.8948,0.9391966587210714
2016-01-03 10:00:00,41.792,78.94,1.20798,1.4216910381068557
2016-01-03 11:00:00,43.52,72.31,1.90145,2.425455558523885
2016-01-03 12:00:00,45.230000000000004,68.56,2.10278,2.901971930861871
2016-01-03 13:00:00,46.508,67.56,1.85671,2.6952165800729753
2016-01-03 14:00:00,46.796,70.19,1.2527200000000003,1.9275075933651118
2016-01-03 15:00:00,45.751999999999995,76.56,0.58162,1.1532335068208224
2016-01-03 16:00:00,44.024,69.44,0.24607,1.253868092150319
2016-01-03 17:00:00,43.052,69.06,1.09613,1.8192861186893685
2016-01-03 18:00:00,40.622,74.69,1.99093,2.329337924981182
2016-01-03 19:00:00,37.544,83.25,2.28174,1.8625713384387936
2016-01-03 20:00:00,35.294,89.62,2.05804,1.1908446126370722
2016-01-03 21:00:00,33.566,96.0,1.47642,0.5267423244233864
2016-01-03 22:00:00,33.242,97.06,1.31983,0.4271351162887353
2016-01-03 23:00:00,33.188,96.06,1.3422,0.4896491944256475
2016-01-04 00:00:00,33.458,93.56,1.38694,0.649256955890301
2016-01-04 01:00:00,33.044,92.44,1.31983,0.6916034129809675
2016-01-04 02:00:00,32.666,91.5,1.29746,0.7362672058803528
