YEAR,MO,DY,HR,WS2M,RH2M,T2M
2015,12,31,16,0.48,75.06,4.17
2015,12,31,17,0.79,74.69,2.18
2015,12,31,18,0.7,77.12,1.51
2015,12,31,19,0.8,75.81,1.35
2015,12,31,20,0.77,75.56,0.77
2015,12,31,21,0.78,79.25,-0.46
2015,12,31,22,0.67,83.69,-1.67
2015,12,31,23,0.55,82.5,-1.92
2016,1,1,0,0.58,78.62,-1.75
2016,1,1,1,0.59,76.31,-1.75
2016,1,1,2,0.59,75.56,-1.93
2016,1,1,3,0.58,75.25,-2.16
2016,1,1,4,0.56,75.12,-2.32
2016,1,1,5,0.56,75.38,-2.44
2016,1,1,6,0.55,75.81,-2.55
2016,1,1,7,0.53,77.62,-2.68
2016,1,1,8,0.48,72.25,-1.24
2016,1,1,9,0.46,62.31,1.09
2016,1,1,10,0.46,53.94,3.33
2016,1,1,11,0.43,50.56,4.79
2016,1,1,12,0.41,50.38,5.6
2016,1,1,13,0.39,51.5,5.85
2016,1,1,14,0.38,53.56,5.6
2016,1,1,15,0.37,59.38,4.65
2016,1,1,16,0.37,80.62,1.49
2016,1,1,17,0.44,91.31,-1.18
2016,1,1,18,0.49,91.12,-1.56
2016,1,1,19,0.49,90.06,-1.72
2016,1,1,20,0.49,90.75,-1.95
2016,1,1,21,0.49,91.06,-2.03
2016,1,1,22,0.51,92.06,-2.2
2016,1,1,23,0.51,92.56,-2.21
2016,1,2,0,0.51,92.75,-2.19
2016,1,2,1,0.51,91.88,-2.03
2016,1,2,2,0.51,90.25,-1.79
2016,1,2,3,0.51,87.25,-1.44
2016,1,2,4,0.51,83.19,-1.0
2016,1,2,5,0.52,79.19,-0.63
2016,1,2,6,0.54,76.25,-0.33
2016,1,2,7,0.52,75.0,-0.13
2016,1,2,8,0.49,73.0,0.58
2016,1,2,9,0.49,72.62,1.57
2016,1,2,10,0.51,71.06,2.58
2016,1,2,11,0.52,70.19,3.34
2016,1,2,12,0.52,70.94,3.8
2016,1,2,13,0.51,73.38,4.01
2016,1,2,14,0.51,77.62,3.82
2016,1,2,15,0.53,82.06,3.32
2016,1,2,16,0.56,86.0,2.83
2016,1,2,17,0.58,88.88,2.57
2016,1,2,18,0.59,91.0,2.47
2016,1,2,19,0.62,93.56,2.24
2016,1,2,20,0.64,95.44,1.87
2016,1,2,21,0.67,95.5,1.83
2016,1,2,22,0.7,95.69,1.87
2016,1,2,23,0.71,95.12,1.96
2016,1,3,0,0.73,93.38,2.25
2016,1,3,1,0.72,90.31,2.63
2016,1,3,2,0.7,85.75,2.94
2016,1,3,3,0.68,80.31,3.1
2016,1,3,4,0.63,79.81,3.08
2016,1,3,5,0.59,84.19,2.98
2016,1,3,6,0.53,87.81,2.97
2016,1,3,7,0.5,92.88,2.73
2016,1,3,8,0.52,94.88,3.08
2016,1,3,9,0.52,94.88,3.73
2016,1,3,10,0.52,95.19,4.63
2016,1,3,11,0.53,94.94,5.65
2016,1,3,12,0.55,93.06,6.87
2016,1,3,13,0.53,88.25,8.07
2016,1,3,14,0.49,84.75,8.4
2016,1,3,15,0.43,86.19,7.79
2016,1,3,16,0.41,92.94,6.15
2016,1,3,17,0.42,95.12,5.13
2016,1,3,18,0.42,94.0,4.9
2016,1,3,19,0.44,93.0,4.62
2016,1,3,20,0.43,92.62,4.37
2016,1,3,21,0.44,92.44,4.21
2016,1,3,22,0.44,90.38,4.53
2016,1,3,23,0.44,91.38,4.47
2016,1,4,0,0.44,92.69,4.61
2016,1,4,1,0.44,94.06,4.86
2016,1,4,2,0.44,95.69,5.08
2016,1,4,3,0.45,96.75,5.4
2016,1,4,4,0.46,97.06,5.69
2016,1,4,5,0.47,97.56,5.55
2016,1,4,6,0.51,97.5,5.26
2016,1,4,7,0.55,97.56,5.15
2016,1,4,8,0.52,98.19,5.08
2016,1,4,9,0.5,98.31,5.37
2016,1,4,10,0.5,98.25,5.92
2016,1,4,11,0.49,98.0,6.53
2016,1,4,12,0.48,97.75,7.05
2016,1,4,13,0.48,97.44,7.52
2016,1,4,14,0.45,98.19,7.55
2016,1,4,15,0.43,99.0,7.51
2016,1,4,16,0.46,99.38,7.69
2016,1,4,17,0.46,99.56,7.86
2016,1,4,18,0.49,99.5,8.09
2016,1,4,19,0.53,99.44,8.38
2016,1,4,20,0.56,99.44,8.57
2016,1,4,21,0.59,99.25,8.74
2016,1,4,22,0.59,98.94,8.63
2016,1,4,23,0.53,99.19,8.16
2016,1,5,0,0.44,99.62,7.86
2016,1,5,1,0.41,99.81,7.85
2016,1,5,2,0.37,99.75,7.87
2016,1,5,3,0.29,99.75,7.53
2016,1,5,4,0.31,99.62,7.0
2016,1,5,5,0.44,99.31,6.75
2016,1,5,6,0.51,99.25,6.5
2016,1,5,7,0.49,99.56,6.32
2016,1,5,8,0.26,99.44,6.95
2016,1,5,9,0.27,98.75,7.16
2016,1,5,10,0.34,96.94,7.5
2016,1,5,11,0.39,93.62,7.98
2016,1,5,12,0.39,92.06,7.87
2016,1,5,13,0.36,93.81,7.44
2016,1,5,14,0.35,93.75,7.51
2016,1,5,15,0.34,95.75,7.19
2016,1,5,16,0.29,98.12,6.52
2016,1,5,17,0.45,99.0,5.57
2016,1,5,18,0.5,99.0,5.33
2016,1,5,19,0.41,99.88,5.16
2016,1,5,20,0.37,100.0,5.32
2016,1,5,21,0.4,99.62,5.58
2016,1,5,22,0.42,99.38,5.97
2016,1,5,23,0.47,99.19,6.25
2016,1,6,0,0.57,99.06,6.55
2016,1,6,1,0.65,98.88,6.55
2016,1,6,2,0.67,98.75,5.9
2016,1,6,3,0.64,98.88,4.84
2016,1,6,4,0.57,99.62,3.72
2016,1,6,5,0.45,100.0,3.75
2016,1,6,6,0.43,99.56,4.53
2016,1,6,7,0.41,99.19,5.26
2016,1,6,8,0.38,99.0,5.83
2016,1,6,9,0.39,98.88,6.48
2016,1,6,10,0.38,98.69,6.91
2016,1,6,11,0.4,98.31,7.03
2016,1,6,12,0.39,98.0,6.96
2016,1,6,13,0.41,97.56,6.85
2016,1,6,14,0.37,97.75,6.75
2016,1,6,15,0.35,98.25,6.58
2016,1,6,16,0.33,98.81,6.33
2016,1,6,17,0.31,99.0,6.05
2016,1,6,18,0.29,99.0,5.9
2016,1,6,19,0.26,99.0,5.67
2016,1,6,20,0.21,98.94,5.53
2016,1,6,21,0.23,98.19,5.44
2016,1,6,22,0.29,96.12,5.48
2016,1,6,23,0.21,95.38,5.57
2016,1,7,0,0.09,94.88,5.46
2016,1,7,1,0.11,95.0,5.24
2016,1,7,2,0.08,95.0,5.16
2016,1,7,3,0.09,94.62,5.15
2016,1,7,4,0.12,94.0,5.2
2016,1,7,5,0.12,93.81,5.23
2016,1,7,6,0.14,93.38,5.25
2016,1,7,7,0.11,99.69,5.07
2016,1,7,8,0.04,100.0,5.22
2016,1,7,9,0.06,96.56,5.72
2016,1,7,10,0.06,96.38,6.59
2016,1,7,11,0.06,91.69,8.3
2016,1,7,12,0.1,74.94,9.05
2016,1,7,13,0.12,69.44,9.05
2016,1,7,14,0.15,69.5,8.95
2016,1,7,15,0.15,76.56,8.19
2016,1,7,16,0.38,91.25,6.28
2016,1,7,17,0.63,95.25,4.82
2016,1,7,18,0.5,98.69,4.44
2016,1,7,19,0.44,98.69,4.68
2016,1,7,20,0.36,98.19,4.87
2016,1,7,21,0.44,99.5,4.56
