YEAR,MO,DY,HR,WS2M,RH2M,T2M
2015,12,31,16,1.97,55.38,11.58
2015,12,31,17,2.15,61.12,10.22
2015,12,31,18,2.24,64.19,9.93
2015,12,31,19,2.12,65.69,9.71
2015,12,31,20,1.86,64.56,9.57
2015,12,31,21,1.63,62.88,9.21
2015,12,31,22,1.49,59.88,8.98
2015,12,31,23,1.51,57.38,8.66
2016,1,1,0,1.65,55.19,8.26
2016,1,1,1,1.91,54.81,7.71
2016,1,1,2,2.17,54.25,7.24
2016,1,1,3,2.49,53.75,6.88
2016,1,1,4,2.46,56.12,6.51
2016,1,1,5,2.39,59.06,6.16
2016,1,1,6,2.46,62.31,5.83
2016,1,1,7,2.69,64.31,6.08
2016,1,1,8,3.53,56.12,8.48
2016,1,1,9,4.08,43.5,10.58
2016,1,1,10,3.66,35.25,12.37
2016,1,1,11,3.4,32.38,13.47
2016,1,1,12,3.12,31.62,14.1
2016,1,1,13,2.82,31.88,14.33
2016,1,1,14,2.51,33.31,14.15
2016,1,1,15,1.99,37.94,13.55
2016,1,1,16,1.42,51.69,11.79
2016,1,1,17,1.11,52.25,10.99
2016,1,1,18,0.6,51.94,10.99
2016,1,1,19,0.29,52.62,10.86
2016,1,1,20,0.12,52.19,10.69
2016,1,1,21,0.57,52.75,10.22
2016,1,1,22,0.95,52.62,9.95
2016,1,1,23,1.27,52.75,9.76
2016,1,2,0,1.36,52.94,9.7
2016,1,2,1,1.37,54.44,9.68
2016,1,2,2,1.26,56.06,9.65
2016,1,2,3,1.14,56.75,9.66
2016,1,2,4,1.09,57.12,9.69
2016,1,2,5,1.25,57.88,9.62
2016,1,2,6,1.53,60.06,9.35
2016,1,2,7,1.76,62.62,9.14
2016,1,2,8,2.19,57.88,10.69
2016,1,2,9,2.92,46.75,12.58
2016,1,2,10,3.41,41.94,13.96
2016,1,2,11,3.53,41.94,14.23
2016,1,2,12,3.62,42.69,14.32
2016,1,2,13,3.74,43.44,14.48
2016,1,2,14,3.74,45.0,14.53
2016,1,2,15,3.35,50.06,13.97
2016,1,2,16,2.48,66.19,11.89
2016,1,2,17,2.34,74.12,10.84
2016,1,2,18,2.45,78.44,10.58
2016,1,2,19,2.69,81.38,10.45
2016,1,2,20,2.94,84.0,10.36
2016,1,2,21,3.24,88.12,10.02
2016,1,2,22,3.41,94.19,9.43
2016,1,2,23,3.44,98.0,9.14
2016,1,3,0,3.42,98.5,9.22
2016,1,3,1,3.49,97.62,9.4
2016,1,3,2,3.69,96.81,9.58
2016,1,3,3,3.76,97.75,9.5
2016,1,3,4,3.86,98.31,9.39
2016,1,3,5,4.14,97.31,9.35
2016,1,3,6,4.5,95.19,9.32
2016,1,3,7,4.64,91.0,9.55
2016,1,3,8,5.55,80.69,11.15
2016,1,3,9,6.53,75.88,12.44
2016,1,3,10,7.19,72.81,13.24
2016,1,3,11,7.45,72.31,13.51
2016,1,3,12,7.46,75.62,13.15
2016,1,3,13,7.67,77.88,12.92
2016,1,3,14,7.99,78.94,12.84
2016,1,3,15,7.96,82.06,12.42
2016,1,3,16,7.36,86.75,11.7
2016,1,3,17,6.87,90.5,11.26
2016,1,3,18,6.87,90.69,11.32
2016,1,3,19,6.79,90.5,11.46
2016,1,3,20,6.56,90.5,11.62
2016,1,3,21,6.22,90.75,11.8
2016,1,3,22,5.81,91.19,11.89
2016,1,3,23,5.12,91.81,11.83
2016,1,4,0,4.38,92.56,11.65
2016,1,4,1,3.79,92.62,11.49
2016,1,4,2,3.37,92.06,11.44
2016,1,4,3,3.04,90.44,11.48
2016,1,4,4,2.58,88.12,11.51
2016,1,4,5,2.27,85.5,11.51
2016,1,4,6,2.06,83.44,11.5
2016,1,4,7,1.88,82.44,11.55
2016,1,4,8,1.79,80.44,12.03
2016,1,4,9,1.93,76.75,12.55
2016,1,4,10,1.7,70.81,13.19
2016,1,4,11,0.79,64.62,14.01
2016,1,4,12,0.95,66.0,14.51
2016,1,4,13,1.63,68.0,14.8
2016,1,4,14,1.98,68.81,14.84
2016,1,4,15,2.14,70.62,14.52
2016,1,4,16,1.78,78.88,13.17
2016,1,4,17,1.66,87.5,11.87
2016,1,4,18,1.42,92.25,11.52
2016,1,4,19,1.13,94.62,11.4
2016,1,4,20,0.88,96.0,11.33
2016,1,4,21,1.07,96.0,11.31
2016,1,4,22,2.27,97.5,11.06
2016,1,4,23,2.96,98.94,10.92
2016,1,5,0,3.33,99.88,10.97
2016,1,5,1,4.29,97.38,11.53
2016,1,5,2,5.31,95.88,11.81
2016,1,5,3,6.18,95.38,11.98
2016,1,5,4,6.78,95.62,12.06
2016,1,5,5,7.53,95.5,12.17
2016,1,5,6,7.49,96.25,12.21
2016,1,5,7,6.72,97.0,12.43
2016,1,5,8,6.0,95.94,12.91
2016,1,5,9,6.01,93.0,12.95
2016,1,5,10,5.7,88.56,12.62
2016,1,5,11,5.33,83.56,12.75
2016,1,5,12,5.67,80.0,12.89
2016,1,5,13,6.18,79.62,12.68
2016,1,5,14,6.58,81.0,12.2
2016,1,5,15,6.9,82.44,11.68
2016,1,5,16,6.78,83.38,11.15
2016,1,5,17,6.29,85.25,10.54
2016,1,5,18,5.89,86.06,10.27
2016,1,5,19,5.41,86.69,10.09
2016,1,5,20,4.61,87.75,9.86
2016,1,5,21,3.8,88.62,9.69
2016,1,5,22,3.27,88.94,9.64
2016,1,5,23,2.86,89.5,9.5
2016,1,6,0,2.32,90.0,9.27
2016,1,6,1,1.79,89.5,9.28
2016,1,6,2,1.33,88.62,9.4
2016,1,6,3,1.75,89.56,9.43
2016,1,6,4,2.57,91.19,9.58
2016,1,6,5,3.58,93.12,9.83
2016,1,6,6,4.65,93.25,10.26
2016,1,6,7,5.26,94.81,10.69
2016,1,6,8,5.87,96.06,11.38
2016,1,6,9,6.33,95.62,12.28
2016,1,6,10,6.26,91.38,12.87
2016,1,6,11,6.19,84.06,12.87
2016,1,6,12,5.91,77.75,12.74
2016,1,6,13,5.76,75.44,12.4
2016,1,6,14,5.68,74.88,11.98
2016,1,6,15,5.31,74.94,11.42
2016,1,6,16,4.13,79.81,10.56
2016,1,6,17,3.81,84.62,9.86
2016,1,6,18,4.27,86.19,9.75
2016,1,6,19,4.16,86.88,9.65
2016,1,6,20,3.8,87.62,9.58
2016,1,6,21,3.73,88.69,9.62
2016,1,6,22,4.0,89.38,9.77
2016,1,6,23,4.74,88.94,10.07
2016,1,7,0,5.82,87.62,10.04
2016,1,7,1,5.92,87.0,9.53
2016,1,7,2,5.16,87.19,8.96
2016,1,7,3,4.48,87.56,8.55
2016,1,7,4,4.14,87.88,8.34
2016,1,7,5,4.13,87.44,8.26
2016,1,7,6,4.18,87.0,8.18
2016,1,7,7,4.21,86.88,8.34
2016,1,7,8,4.48,85.94,8.9
2016,1,7,9,4.8,85.0,9.28
2016,1,7,10,5.02,83.25,9.66
2016,1,7,11,5.15,80.5,10.19
2016,1,7,12,5.29,77.56,10.65
2016,1,7,13,5.5,74.56,11.15
2016,1,7,14,5.64,72.56,11.42
2016,1,7,15,5.8,72.81,11.3
2016,1,7,16,5.26,77.75,10.49
2016,1,7,17,4.82,83.5,9.57
2016,1,7,18,4.57,85.5,9.27
2016,1,7,19,4.37,86.25,9.02
2016,1,7,20,4.07,86.62,8.8
2016,1,7,21,3.64,86.69,8.51
2016,1,7,22,3.35,86.06,8.25
2016,1,7,23,3.26,85.88,8.02
2016,1,8,0,3.3,86.0,7.89
2016,1,8,1,3.33,86.38,7.74
2016,1,8,2,3.29,86.69,7.56
2016,1,8,3,3.33,86.75,7.39
2016,1,8,4,3.49,87.19,7.23
2016,1,8,5,3.57,87.69,7.14
2016,1,8,6,3.48,87.69,7.06
2016,1,8,7,3.47,85.69,7.46
2016,1,8,8,3.7,77.94,9.3
2016,1,8,9,3.66,69.81,10.58
2016,1,8,10,3.56,60.88,11.94
2016,1,8,11,3.7,54.06,13.12
2016,1,8,12,3.95,50.75,13.87
2016,1,8,13,4.07,50.31,14.12
2016,1,8,14,4.03,52.12,13.98
2016,1,8,15,3.78,55.69,13.47
