YEAR,MO,DY,HR,WS2M,RH2M,T2M
2015,12,31,16,1.03,78.69,5.86
2015,12,31,17,1.16,82.94,3.19
2015,12,31,18,1.15,83.56,2.39
2015,12,31,19,1.14,81.94,1.91
2015,12,31,20,1.12,79.0,1.8
2015,12,31,21,1.05,77.62,1.68
2015,12,31,22,0.96,76.94,1.58
2015,12,31,23,0.97,78.94,1.13
2016,1,1,0,0.97,81.81,0.68
2016,1,1,1,1.0,84.88,0.16
2016,1,1,2,1.01,88.56,-0.45
2016,1,1,3,0.97,91.38,-1.01
2016,1,1,4,1.0,94.31,-1.72
2016,1,1,5,1.0,95.5,-2.3
2016,1,1,6,0.99,94.31,-2.62
2016,1,1,7,0.93,92.12,-2.49
2016,1,1,8,1.61,77.31,0.33
2016,1,1,9,1.61,69.81,2.51
2016,1,1,10,1.68,61.69,6.18
2016,1,1,11,1.4,58.62,8.05
2016,1,1,12,1.13,56.88,9.08
2016,1,1,13,1.01,55.25,9.62
2016,1,1,14,0.97,54.69,9.69
2016,1,1,15,0.89,59.44,9.07
2016,1,1,16,0.71,72.06,6.71
2016,1,1,17,1.0,74.94,4.87
2016,1,1,18,1.03,81.69,3.92
2016,1,1,19,1.05,84.62,3.49
2016,1,1,20,1.03,85.44,3.14
2016,1,1,21,1.0,85.75,2.76
2016,1,1,22,1.01,84.56,2.3
2016,1,1,23,1.0,83.31,2.15
2016,1,2,0,0.98,83.25,2.03
2016,1,2,1,1.02,83.75,1.67
2016,1,2,2,1.02,85.94,1.4
2016,1,2,3,1.02,87.88,1.2
2016,1,2,4,1.01,89.12,1.17
2016,1,2,5,0.98,90.62,0.9
2016,1,2,6,0.99,92.38,0.28
2016,1,2,7,0.92,92.12,-0.03
2016,1,2,8,1.54,79.19,2.8
2016,1,2,9,1.51,70.88,4.89
2016,1,2,10,1.6,67.44,7.97
2016,1,2,11,2.29,66.12,11.37
2016,1,2,12,2.65,63.5,12.92
2016,1,2,13,2.67,60.75,13.57
2016,1,2,14,2.44,59.0,13.58
2016,1,2,15,1.38,66.31,12.63
2016,1,2,16,0.71,74.44,10.16
2016,1,2,17,1.0,74.44,8.3
2016,1,2,18,1.13,81.31,6.58
2016,1,2,19,1.15,80.81,5.78
2016,1,2,20,1.21,80.38,5.06
2016,1,2,21,1.25,80.62,4.29
2016,1,2,22,1.23,80.38,4.28
2016,1,2,23,1.27,80.12,4.65
2016,1,3,0,1.37,80.62,4.67
2016,1,3,1,1.38,83.5,4.11
2016,1,3,2,1.26,87.19,4.05
2016,1,3,3,1.25,91.12,4.44
2016,1,3,4,1.42,97.25,4.66
2016,1,3,5,1.71,100.0,4.81
2016,1,3,6,1.71,100.0,4.68
2016,1,3,7,1.52,100.0,4.65
2016,1,3,8,1.89,97.81,7.38
2016,1,3,9,1.97,90.81,9.46
2016,1,3,10,1.56,85.12,11.08
2016,1,3,11,1.52,80.5,12.19
2016,1,3,12,1.95,76.19,12.91
2016,1,3,13,2.51,71.38,13.67
2016,1,3,14,2.26,67.06,14.3
2016,1,3,15,1.0,76.31,13.47
2016,1,3,16,0.51,78.69,11.55
2016,1,3,17,0.62,81.38,10.08
2016,1,3,18,0.69,87.94,8.53
2016,1,3,19,0.81,93.5,6.94
2016,1,3,20,0.83,95.62,6.07
2016,1,3,21,0.8,97.12,5.48
2016,1,3,22,0.74,97.69,5.26
2016,1,3,23,0.71,97.88,5.34
2016,1,4,0,0.77,98.81,5.4
2016,1,4,1,0.89,99.31,5.56
2016,1,4,2,1.18,98.75,5.9
2016,1,4,3,1.94,96.62,6.65
2016,1,4,4,2.59,95.31,7.49
2016,1,4,5,2.79,94.88,8.16
2016,1,4,6,2.88,94.88,8.78
2016,1,4,7,2.47,96.44,9.01
2016,1,4,8,2.69,94.69,10.18
2016,1,4,9,3.12,92.12,11.51
2016,1,4,10,3.45,86.81,13.0
2016,1,4,11,3.91,75.25,14.28
2016,1,4,12,4.08,66.44,14.84
2016,1,4,13,4.0,63.94,14.93
2016,1,4,14,3.74,66.25,14.46
2016,1,4,15,2.58,76.38,13.01
2016,1,4,16,1.58,87.81,11.49
2016,1,4,17,1.85,90.25,10.83
2016,1,4,18,2.39,89.88,10.78
2016,1,4,19,2.87,89.5,10.76
2016,1,4,20,3.14,89.38,10.69
2016,1,4,21,3.43,89.12,10.63
2016,1,4,22,3.48,90.62,10.29
2016,1,4,23,3.82,92.31,10.13
2016,1,5,0,4.45,92.19,10.36
2016,1,5,1,4.7,92.38,10.38
2016,1,5,2,4.65,92.88,10.48
2016,1,5,3,4.33,93.19,10.59
2016,1,5,4,4.16,93.81,10.31
2016,1,5,5,3.63,94.12,9.79
2016,1,5,6,2.53,95.25,9.61
2016,1,5,7,1.42,100.0,8.73
2016,1,5,8,1.84,96.44,10.15
2016,1,5,9,2.68,91.31,11.05
2016,1,5,10,3.13,83.56,11.57
2016,1,5,11,3.5,75.38,11.85
2016,1,5,12,3.69,75.81,11.28
2016,1,5,13,3.59,80.81,10.32
2016,1,5,14,3.13,84.12,9.88
2016,1,5,15,2.59,86.31,9.69
2016,1,5,16,1.73,91.56,8.65
2016,1,5,17,1.37,94.94,7.48
2016,1,5,18,1.31,94.38,7.36
2016,1,5,19,1.26,96.12,6.74
2016,1,5,20,1.31,98.12,6.13
2016,1,5,21,1.32,99.44,5.76
2016,1,5,22,1.42,100.0,5.52
2016,1,5,23,1.73,99.94,5.65
2016,1,6,0,2.17,98.0,6.41
2016,1,6,1,3.2,96.44,7.02
2016,1,6,2,3.97,96.12,7.36
2016,1,6,3,4.77,94.06,7.78
2016,1,6,4,4.82,94.38,7.3
2016,1,6,5,4.48,95.06,7.8
2016,1,6,6,3.77,96.0,9.23
2016,1,6,7,3.42,95.31,10.22
2016,1,6,8,3.25,93.0,10.21
2016,1,6,9,2.85,91.31,10.06
2016,1,6,10,3.07,90.31,10.39
2016,1,6,11,3.32,90.31,10.37
2016,1,6,12,3.72,90.69,10.23
2016,1,6,13,3.48,88.5,10.14
2016,1,6,14,2.99,84.75,10.0
2016,1,6,15,2.45,85.56,9.41
2016,1,6,16,1.56,91.94,8.07
2016,1,6,17,1.36,95.06,7.01
2016,1,6,18,1.47,95.94,6.85
2016,1,6,19,1.66,95.94,6.78
2016,1,6,20,1.55,96.69,6.42
2016,1,6,21,1.46,97.31,6.01
2016,1,6,22,1.31,98.0,5.58
2016,1,6,23,1.14,98.88,5.19
2016,1,7,0,1.02,99.5,4.81
2016,1,7,1,0.96,99.12,4.89
2016,1,7,2,0.91,98.44,5.23
2016,1,7,3,0.87,98.12,5.35
2016,1,7,4,0.86,98.06,5.27
2016,1,7,5,0.87,97.06,5.33
2016,1,7,6,0.85,95.31,5.59
2016,1,7,7,0.71,94.25,5.98
2016,1,7,8,0.48,94.0,7.4
2016,1,7,9,0.48,85.75,9.06
2016,1,7,10,0.92,77.0,10.25
